Drate,Denom
3.7,79
1.9,51
4.2,70
0,179
3.7,53
2.6,112
2.1,47
6.6,45
2.5,39
8.1,49
1.7,283
1.5,133
6.4,371
0,96
14.1,3294
5.2,95
3,260
3.3,60
4.5,22
9.5,21
4.8,41
11.1,36
9,22
0,34
1,98
13.7,29
n/a,n/a
5.7,35
1.4,348
3,66
2.7,217
0,16
6.4,31
3.2,31
0,57
0,60
0,26
18.1,44
4.7,16963
9.4,348
13,7774
16.2,977
17,1642
20.8,1354
7.5,333
17.3,75
14.7,487
16.6,1279
20.9,1272
13.5,479
18.9,1266
13.5,361
6.4,1023
18.2,345
14.4,2058
12.9,711
15.9,1522
15.3,1358
5.7,676
17.2,575
17.8,571
13.1,373
n/a,n/a
2.3,42
2.6,337
2.2,87
n/a,n/a
11.1,18
4.5,218
16.9,1654
14.6,7976
14,1954
0.4,749
11.6,868
9,2604
11.2,949
15.6,1453
20.1,144
14.2,1189
20.7,2586
6.5,1790
28.6,1086
23.5,3443
28.7,721
13.7,87
16.2,37
15.5,187
11.1,297
1,600
6.6,1707
0,153
6.3,729
2.9,307
16.5,145
11.9,126
4.6,792
9.3,236
8.4,1188
7.9,960
